Asteroid_ID,a,e,sin_i,H,C,Family_ID,Family_Number,Family_Name
327714,3.96652,0.19665,0.15285,14.47,-99.9999,1,153,Hilda
328839,3.96687,0.21401,0.15718,15.4,-99.9999,1,153,Hilda
328881,3.96668,0.20737,0.15013,15.31,-99.9999,1,153,Hilda
329919,3.96764,0.23316,0.16787,14.12,-99.9999,1,153,Hilda
330373,3.96739,0.2285,0.16744,14.78,-99.9999,1,153,Hilda
330528,3.96298,0.13476,0.15556,14.34,-99.9999,1,153,Hilda
332019,3.96828,0.26641,0.14734,14.9,-99.9999,1,153,Hilda
332275,3.96308,0.13958,0.16512,14.74,-99.9999,1,153,Hilda
332294,3.96717,0.21723,0.16447,15.35,-99.9999,1,153,Hilda
334429,3.95632,0.08854,0.15278,14.87,-99.9999,1,153,Hilda
334549,3.96749,0.22838,0.15348,14.68,-99.9999,1,153,Hilda
334863,3.96759,0.23422,0.16336,15.31,-99.9999,1,153,Hilda
335452,3.96748,0.22895,0.15577,14.63,-99.9999,1,153,Hilda
335455,3.96812,0.2521,0.16293,15.89,-99.9999,1,153,Hilda
339153,3.96797,0.24816,0.16191,14.65,-99.9999,1,153,Hilda
339167,3.9663,0.19553,0.14106,14.36,-99.9999,1,153,Hilda
339191,3.96721,0.2219,0.14925,14.68,-99.9999,1,153,Hilda
340066,3.96773,0.23808,0.16525,14.99,-99.9999,1,153,Hilda
340111,3.96805,0.25721,0.16308,15.13,-99.9999,1,153,Hilda
340121,3.96423,0.15548,0.15804,15.21,-99.9999,1,153,Hilda
340215,3.96778,0.23817,0.15266,15.13,-99.9999,1,153,Hilda
340893,3.96606,0.1876,0.15748,15.02,-99.9999,1,153,Hilda
341830,3.96756,0.23506,0.16139,14.86,-99.9999,1,153,Hilda
341841,3.96701,0.21609,0.16453,14.86,-99.9999,1,153,Hilda
341883,3.96599,0.18951,0.15606,14.87,-99.9999,1,153,Hilda
343534,3.96751,0.2331,0.15618,15.18,-99.9999,1,153,Hilda
345414,3.96605,0.18996,0.15659,15.4,-99.9999,1,153,Hilda
348031,3.9676,0.23524,0.17508,15.18,-99.9999,1,153,Hilda
349480,3.96572,0.17944,0.15726,14.83,-99.9999,1,153,Hilda
350155,3.95596,0.08698,0.15104,14.31,-99.9999,1,153,Hilda
351043,3.96765,0.2396,0.12299,14.88,-99.9999,1,153,Hilda
351077,3.96807,0.25216,0.16484,14.63,-99.9999,1,153,Hilda
367089,3.96138,0.12159,0.15672,14.95,-99.9999,1,153,Hilda
367261,3.96802,0.25429,0.15472,14.88,-99.9999,1,153,Hilda
368099,3.96316,0.13988,0.15367,15.25,-99.9999,1,153,Hilda
368158,3.96286,0.13534,0.15848,15.18,-99.9999,1,153,Hilda
368684,3.96538,0.17267,0.16085,14.61,-99.9999,1,153,Hilda
370929,3.96224,0.12932,0.15105,14.9,-99.9999,1,153,Hilda
373115,3.96764,0.23909,0.14673,14.55,-99.9999,1,153,Hilda
374382,3.9673,0.2271,0.1389,15.23,-99.9999,1,153,Hilda
376537,3.96656,0.2037,0.13901,14.81,-99.9999,1,153,Hilda
377597,3.96822,0.26338,0.15444,15.12,-99.9999,1,153,Hilda
377620,3.96737,0.21922,0.15916,14.94,-99.9999,1,153,Hilda
377648,3.96635,0.19712,0.15458,14.67,-99.9999,1,153,Hilda
377678,3.96829,0.25727,0.17907,15.33,-99.9999,1,153,Hilda
378186,3.96735,0.22856,0.126,14.93,-99.9999,1,153,Hilda
378534,3.9657,0.18337,0.15165,15.29,-99.9999,1,153,Hilda
379142,3.96632,0.19685,0.15491,14.97,-99.9999,1,153,Hilda
381077,3.9679,0.24881,0.15789,15.0,-99.9999,1,153,Hilda
382935,3.96032,0.11281,0.1456,15.23,-99.9999,1,153,Hilda
385567,3.96265,0.13357,0.14372,15.21,-99.9999,1,153,Hilda
386501,3.96144,0.12033,0.15142,14.53,-99.9999,1,153,Hilda
387351,3.96688,0.21526,0.14285,14.9,-99.9999,1,153,Hilda
387570,3.96742,0.22724,0.15972,14.39,-99.9999,1,153,Hilda
387671,3.96641,0.19909,0.15376,14.43,-99.9999,1,153,Hilda
389289,3.96632,0.19611,0.15621,15.27,-99.9999,1,153,Hilda
390742,3.96834,0.26339,0.15349,14.8,-99.9999,1,153,Hilda
392203,3.96677,0.20834,0.15438,14.8,-99.9999,1,153,Hilda
393187,3.96777,0.24184,0.16539,14.86,-99.9999,1,153,Hilda
393263,3.96511,0.1713,0.15647,14.47,-99.9999,1,153,Hilda
