Asteroid_ID,a,e,sin_i,H,C,Family_ID,Family_Number,Family_Name
155828,1.96228,0.07952,0.35401,16.03,0.37,3,434,Hungaria
155845,1.96185,0.05955,0.35747,15.89,0.39,3,434,Hungaria
155850,1.98284,0.08965,0.33885,15.95,0.83,3,434,Hungaria
155851,1.96823,0.07746,0.36967,16.07,0.49,3,434,Hungaria
156655,1.88537,0.064,0.38192,16.59,-0.94,3,434,Hungaria
156686,1.88722,0.056,0.38,16.63,-0.9,3,434,Hungaria
156702,1.90322,0.06347,0.36366,16.55,-0.67,3,434,Hungaria
156714,1.98772,0.06863,0.3535,16.61,0.69,3,434,Hungaria
157079,1.94014,0.07057,0.35882,15.6,-0.11,3,434,Hungaria
157081,1.90884,0.0769,0.34765,16.47,-0.6,3,434,Hungaria
157087,1.95699,0.07556,0.35312,16.21,0.24,3,434,Hungaria
157873,1.90312,0.07921,0.36543,16.38,-0.73,3,434,Hungaria
158086,1.91026,0.06892,0.34872,16.62,-0.54,3,434,Hungaria
158103,1.96685,0.07538,0.35397,16.15,0.44,3,434,Hungaria
158104,1.89911,0.06225,0.36412,16.55,-0.74,3,434,Hungaria
158458,1.91686,0.07788,0.37321,16.14,-0.54,3,434,Hungaria
158598,1.96854,0.07495,0.36047,16.67,0.37,3,434,Hungaria
158828,1.9061,0.08739,0.36829,16.13,-0.76,3,434,Hungaria
158832,1.93042,0.08512,0.35303,16.84,-0.2,3,434,Hungaria
158833,1.96687,0.07164,0.33963,16.85,0.32,3,434,Hungaria
158835,1.9838,0.06819,0.363,16.12,0.79,3,434,Hungaria
158836,1.99387,0.0686,0.36137,16.55,0.81,3,434,Hungaria
159165,1.89664,0.08305,0.36752,16.79,-0.7,3,434,Hungaria
159176,1.92324,0.06914,0.36129,16.74,-0.32,3,434,Hungaria
159203,1.95202,0.07258,0.37199,16.65,0.12,3,434,Hungaria
159695,1.93507,0.07545,0.38073,16.38,-0.16,3,434,Hungaria
159715,1.96911,0.06187,0.35846,15.91,0.54,3,434,Hungaria
159853,1.87577,0.08167,0.37495,17.19,-0.83,3,434,Hungaria
159854,1.95598,0.07146,0.36504,16.29,0.21,3,434,Hungaria
159855,1.93364,0.08614,0.35285,16.38,-0.19,3,434,Hungaria
159930,1.96268,0.06431,0.35851,16.9,0.26,3,434,Hungaria
159931,1.91578,0.06778,0.37435,16.26,-0.53,3,434,Hungaria
159947,1.9294,0.09355,0.35051,16.06,-0.3,3,434,Hungaria
160136,1.89932,0.07546,0.37249,16.27,-0.84,3,434,Hungaria
160138,1.91843,0.07302,0.34615,15.62,-0.65,3,434,Hungaria
160141,1.92081,0.0858,0.34818,16.81,-0.34,3,434,Hungaria
160143,1.91918,0.06647,0.35217,16.21,-0.48,3,434,Hungaria
160270,1.94578,0.0823,0.36376,16.43,0.03,3,434,Hungaria
